,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400020,42,101108,Chris Paul,1610612746,Los Angeles Clippers,1,7,19,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,147,-10,1,1
1,Shot Chart Detail,0021400020,48,101108,Chris Paul,1610612746,Los Angeles Clippers,1,6,51,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,26,1,0
2,Shot Chart Detail,0021400020,97,101108,Chris Paul,1610612746,Los Angeles Clippers,1,3,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,1
3,Shot Chart Detail,0021400020,229,101108,Chris Paul,1610612746,Los Angeles Clippers,2,4,48,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,72,93,1,0
4,Shot Chart Detail,0021400020,268,101108,Chris Paul,1610612746,Los Angeles Clippers,2,0,26,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,19,1,1
5,Shot Chart Detail,0021400020,299,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-86,258,1,0
6,Shot Chart Detail,0021400020,302,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-19,26,1,0
7,Shot Chart Detail,0021400020,303,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,27,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20,1,0
8,Shot Chart Detail,0021400020,320,101108,Chris Paul,1610612746,Los Angeles Clippers,3,7,20,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,40,126,1,1
9,Shot Chart Detail,0021400020,332,101108,Chris Paul,1610612746,Los Angeles Clippers,3,5,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-100,257,1,0
10,Shot Chart Detail,0021400020,350,101108,Chris Paul,1610612746,Los Angeles Clippers,3,4,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-111,-2,1,1
11,Shot Chart Detail,0021400020,371,101108,Chris Paul,1610612746,Los Angeles Clippers,3,2,41,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,100,91,1,1
12,Shot Chart Detail,0021400020,456,101108,Chris Paul,1610612746,Los Angeles Clippers,4,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,53,257,1,1
13,Shot Chart Detail,0021400020,467,101108,Chris Paul,1610612746,Los Angeles Clippers,4,6,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-73,124,1,0
14,Shot Chart Detail,0021400020,469,101108,Chris Paul,1610612746,Los Angeles Clippers,4,6,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,1
15,Shot Chart Detail,0021400020,490,101108,Chris Paul,1610612746,Los Angeles Clippers,4,4,44,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,44,1,1
16,Shot Chart Detail,0021400020,493,101108,Chris Paul,1610612746,Los Angeles Clippers,4,4,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-127,132,1,0
17,Shot Chart Detail,0021400020,515,101108,Chris Paul,1610612746,Los Angeles Clippers,4,2,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,24,151,1,0
18,Shot Chart Detail,0021400026,10,101108,Chris Paul,1610612746,Los Angeles Clippers,1,10,49,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-8,74,1,1
19,Shot Chart Detail,0021400026,39,101108,Chris Paul,1610612746,Los Angeles Clippers,1,7,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-87,263,1,0
20,Shot Chart Detail,0021400026,93,101108,Chris Paul,1610612746,Los Angeles Clippers,1,2,20,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-64,93,1,0
21,Shot Chart Detail,0021400026,100,101108,Chris Paul,1610612746,Los Angeles Clippers,1,1,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,-6,1,1
22,Shot Chart Detail,0021400026,265,101108,Chris Paul,1610612746,Los Angeles Clippers,2,2,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,0,263,1,0
23,Shot Chart Detail,0021400026,321,101108,Chris Paul,1610612746,Los Angeles Clippers,3,10,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,3,1,0
24,Shot Chart Detail,0021400026,350,101108,Chris Paul,1610612746,Los Angeles Clippers,3,7,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,0,260,1,0
25,Shot Chart Detail,0021400026,484,101108,Chris Paul,1610612746,Los Angeles Clippers,4,7,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,159,219,1,0
26,Shot Chart Detail,0021400026,564,101108,Chris Paul,1610612746,Los Angeles Clippers,4,0,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,39,1,0
27,Shot Chart Detail,0021400039,34,101108,Chris Paul,1610612746,Los Angeles Clippers,1,7,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-90,168,1,1
28,Shot Chart Detail,0021400039,41,101108,Chris Paul,1610612746,Los Angeles Clippers,1,6,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,77,3,1,0
29,Shot Chart Detail,0021400039,263,101108,Chris Paul,1610612746,Los Angeles Clippers,2,1,30,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,4,1,0
30,Shot Chart Detail,0021400039,295,101108,Chris Paul,1610612746,Los Angeles Clippers,3,10,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,186,1,1
31,Shot Chart Detail,0021400039,302,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-2,1,1
32,Shot Chart Detail,0021400039,316,101108,Chris Paul,1610612746,Los Angeles Clippers,3,8,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-157,37,1,1
33,Shot Chart Detail,0021400039,320,101108,Chris Paul,1610612746,Los Angeles Clippers,3,7,52,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,20,88,1,1
34,Shot Chart Detail,0021400039,345,101108,Chris Paul,1610612746,Los Angeles Clippers,3,4,37,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,-22,1,1
35,Shot Chart Detail,0021400039,383,101108,Chris Paul,1610612746,Los Angeles Clippers,3,1,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-157,85,1,0
36,Shot Chart Detail,0021400039,470,101108,Chris Paul,1610612746,Los Angeles Clippers,4,5,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-180,195,1,0
37,Shot Chart Detail,0021400039,498,101108,Chris Paul,1610612746,Los Angeles Clippers,4,3,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,10,258,1,0
38,Shot Chart Detail,0021400039,550,101108,Chris Paul,1610612746,Los Angeles Clippers,4,0,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-242,-3,1,0
39,Shot Chart Detail,0021400048,14,101108,Chris Paul,1610612746,Los Angeles Clippers,1,9,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,124,56,1,0
40,Shot Chart Detail,0021400048,30,101108,Chris Paul,1610612746,Los Angeles Clippers,1,8,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,78,170,1,1
41,Shot Chart Detail,0021400048,90,101108,Chris Paul,1610612746,Los Angeles Clippers,1,0,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,129,96,1,1
42,Shot Chart Detail,0021400048,192,101108,Chris Paul,1610612746,Los Angeles Clippers,2,0,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-22,1,1
43,Shot Chart Detail,0021400048,207,101108,Chris Paul,1610612746,Los Angeles Clippers,3,11,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-15,205,1,1
44,Shot Chart Detail,0021400048,227,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-161,190,1,0
45,Shot Chart Detail,0021400048,230,101108,Chris Paul,1610612746,Los Angeles Clippers,3,8,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-157,124,1,0
46,Shot Chart Detail,0021400048,260,101108,Chris Paul,1610612746,Los Angeles Clippers,3,5,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,39,1,0
47,Shot Chart Detail,0021400048,286,101108,Chris Paul,1610612746,Los Angeles Clippers,3,3,45,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,15,33,1,0
48,Shot Chart Detail,0021400048,461,101108,Chris Paul,1610612746,Los Angeles Clippers,4,0,57,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-71,115,1,0
49,Shot Chart Detail,0021400048,472,101108,Chris Paul,1610612746,Los Angeles Clippers,4,0,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,114,88,1,0
50,Shot Chart Detail,0021400048,490,101108,Chris Paul,1610612746,Los Angeles Clippers,4,0,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,12,1,1
51,Shot Chart Detail,0021400068,2,101108,Chris Paul,1610612746,Los Angeles Clippers,1,11,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,39,1,0
52,Shot Chart Detail,0021400068,18,101108,Chris Paul,1610612746,Los Angeles Clippers,1,9,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,0
53,Shot Chart Detail,0021400068,36,101108,Chris Paul,1610612746,Los Angeles Clippers,1,7,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,88,101,1,0
54,Shot Chart Detail,0021400068,91,101108,Chris Paul,1610612746,Los Angeles Clippers,1,1,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-4,242,1,0
55,Shot Chart Detail,0021400068,150,101108,Chris Paul,1610612746,Los Angeles Clippers,2,6,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,125,131,1,0
56,Shot Chart Detail,0021400068,181,101108,Chris Paul,1610612746,Los Angeles Clippers,2,3,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-98,160,1,0
57,Shot Chart Detail,0021400068,202,101108,Chris Paul,1610612746,Los Angeles Clippers,2,0,46,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,30,133,276,1,1
58,Shot Chart Detail,0021400068,204,101108,Chris Paul,1610612746,Los Angeles Clippers,2,0,3,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,73,113,1,1
59,Shot Chart Detail,0021400068,214,101108,Chris Paul,1610612746,Los Angeles Clippers,3,11,0,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,39,189,1,1
60,Shot Chart Detail,0021400068,227,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-57,181,1,1
61,Shot Chart Detail,0021400068,241,101108,Chris Paul,1610612746,Los Angeles Clippers,3,8,0,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,7,86,1,1
62,Shot Chart Detail,0021400068,267,101108,Chris Paul,1610612746,Los Angeles Clippers,3,5,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,108,112,1,1
63,Shot Chart Detail,0021400068,274,101108,Chris Paul,1610612746,Los Angeles Clippers,3,4,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,113,127,1,0
64,Shot Chart Detail,0021400068,337,101108,Chris Paul,1610612746,Los Angeles Clippers,3,0,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,14,1,0
65,Shot Chart Detail,0021400068,342,101108,Chris Paul,1610612746,Los Angeles Clippers,3,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,106,268,1,0
66,Shot Chart Detail,0021400082,12,101108,Chris Paul,1610612746,Los Angeles Clippers,1,10,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-38,156,1,0
67,Shot Chart Detail,0021400082,67,101108,Chris Paul,1610612746,Los Angeles Clippers,1,5,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,86,140,1,1
68,Shot Chart Detail,0021400082,71,101108,Chris Paul,1610612746,Los Angeles Clippers,1,4,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-86,143,1,1
69,Shot Chart Detail,0021400082,78,101108,Chris Paul,1610612746,Los Angeles Clippers,1,3,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-4,145,1,1
70,Shot Chart Detail,0021400082,198,101108,Chris Paul,1610612746,Los Angeles Clippers,2,6,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,43,94,1,0
71,Shot Chart Detail,0021400082,222,101108,Chris Paul,1610612746,Los Angeles Clippers,2,4,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-149,48,1,0
72,Shot Chart Detail,0021400082,257,101108,Chris Paul,1610612746,Los Angeles Clippers,2,1,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-133,214,1,0
73,Shot Chart Detail,0021400082,270,101108,Chris Paul,1610612746,Los Angeles Clippers,2,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-116,145,1,1
74,Shot Chart Detail,0021400082,312,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,7,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-79,124,1,1
75,Shot Chart Detail,0021400082,337,101108,Chris Paul,1610612746,Los Angeles Clippers,3,7,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,89,235,1,0
76,Shot Chart Detail,0021400082,356,101108,Chris Paul,1610612746,Los Angeles Clippers,3,5,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,102,96,1,1
77,Shot Chart Detail,0021400082,372,101108,Chris Paul,1610612746,Los Angeles Clippers,3,4,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-13,143,1,0
78,Shot Chart Detail,0021400082,497,101108,Chris Paul,1610612746,Los Angeles Clippers,4,4,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-114,119,1,1
79,Shot Chart Detail,0021400082,500,101108,Chris Paul,1610612746,Los Angeles Clippers,4,3,23,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,103,142,1,1
80,Shot Chart Detail,0021400082,502,101108,Chris Paul,1610612746,Los Angeles Clippers,4,2,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,111,110,1,0
81,Shot Chart Detail,0021400082,504,101108,Chris Paul,1610612746,Los Angeles Clippers,4,2,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,81,47,1,1
82,Shot Chart Detail,0021400082,512,101108,Chris Paul,1610612746,Los Angeles Clippers,4,1,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-133,227,1,0
83,Shot Chart Detail,0021400082,542,101108,Chris Paul,1610612746,Los Angeles Clippers,4,0,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-180,7,1,0
84,Shot Chart Detail,0021400102,34,101108,Chris Paul,1610612746,Los Angeles Clippers,1,7,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,136,113,1,1
85,Shot Chart Detail,0021400102,61,101108,Chris Paul,1610612746,Los Angeles Clippers,1,4,48,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-56,104,1,1
86,Shot Chart Detail,0021400102,68,101108,Chris Paul,1610612746,Los Angeles Clippers,1,3,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-180,181,1,0
87,Shot Chart Detail,0021400102,91,101108,Chris Paul,1610612746,Los Angeles Clippers,1,2,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,132,142,1,0
88,Shot Chart Detail,0021400102,189,101108,Chris Paul,1610612746,Los Angeles Clippers,2,4,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-187,88,1,0
89,Shot Chart Detail,0021400102,270,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,29,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,29,121,1,1
90,Shot Chart Detail,0021400102,275,101108,Chris Paul,1610612746,Los Angeles Clippers,3,8,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-7,157,1,1
91,Shot Chart Detail,0021400102,291,101108,Chris Paul,1610612746,Los Angeles Clippers,3,6,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,89,94,1,1
92,Shot Chart Detail,0021400102,294,101108,Chris Paul,1610612746,Los Angeles Clippers,3,5,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,152,238,1,0
93,Shot Chart Detail,0021400102,308,101108,Chris Paul,1610612746,Los Angeles Clippers,3,4,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,58,45,1,0
94,Shot Chart Detail,0021400102,450,101108,Chris Paul,1610612746,Los Angeles Clippers,4,5,49,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,7,74,1,1
95,Shot Chart Detail,0021400102,461,101108,Chris Paul,1610612746,Los Angeles Clippers,4,4,23,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,241,67,1,0
96,Shot Chart Detail,0021400102,530,101108,Chris Paul,1610612746,Los Angeles Clippers,4,0,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,15,1,0
97,Shot Chart Detail,0021400141,22,101108,Chris Paul,1610612746,Los Angeles Clippers,1,8,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,37,192,1,1
98,Shot Chart Detail,0021400141,61,101108,Chris Paul,1610612746,Los Angeles Clippers,1,5,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,106,93,1,0
99,Shot Chart Detail,0021400141,250,101108,Chris Paul,1610612746,Los Angeles Clippers,2,3,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,34,121,1,0
100,Shot Chart Detail,0021400141,255,101108,Chris Paul,1610612746,Los Angeles Clippers,2,2,55,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,59,105,1,1
101,Shot Chart Detail,0021400141,288,101108,Chris Paul,1610612746,Los Angeles Clippers,2,0,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,7,1,1
102,Shot Chart Detail,0021400141,298,101108,Chris Paul,1610612746,Los Angeles Clippers,3,11,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-103,225,1,1
103,Shot Chart Detail,0021400141,301,101108,Chris Paul,1610612746,Los Angeles Clippers,3,11,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-11,265,1,1
104,Shot Chart Detail,0021400141,316,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-3,1,1
105,Shot Chart Detail,0021400141,322,101108,Chris Paul,1610612746,Los Angeles Clippers,3,9,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,26,1,0
106,Shot Chart Detail,0021400141,538,101108,Chris Paul,1610612746,Los Angeles Clippers,4,5,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,19,1,1
107,Shot Chart Detail,0021400141,557,101108,Chris Paul,1610612746,Los Angeles Clippers,4,4,45,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,22,1,1
108,Shot Chart Detail,0021400141,602,101108,Chris Paul,1610612746,Los Angeles Clippers,4,2,27,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-144,206,1,1
109,Shot Chart Detail,0021400141,604,101108,Chris Paul,1610612746,Los Angeles Clippers,4,1,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-119,116,1,1
110,Shot Chart Detail,0021400154,59,101108,Chris Paul,1610612746,Los Angeles Clippers,1,5,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-108,143,1,0
111,Shot Chart Detail,0021400154,64,101108,Chris Paul,1610612746,Los Angeles Clippers,1,5,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,94,86,1,1
112,Shot Chart Detail,0021400154,211,101108,Chris Paul,1610612746,Los Angeles Clippers,2,5,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,103,97,1,1
113,Shot Chart Detail,0021400154,222,101108,Chris Paul,1610612746,Los Angeles Clippers,2,4,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-87,138,1,1
114,Shot Chart Detail,0021400154,229,101108,Chris Paul,1610612746,Los Angeles Clippers,2,3,44,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,129,149,1,1
115,Shot Chart Detail,0021400154,231,101108,Chris Paul,1610612746,Los Angeles Clippers,2,3,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-98,66,1,0
116,Shot Chart Detail,0021400154,307,101108,Chris Paul,1610612746,Los Angeles Clippers,3,8,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,106,107,1,0
117,Shot Chart Detail,0021400154,312,101108,Chris Paul,1610612746,Los Angeles Clippers,3,7,57,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,21,104,1,0
118,Shot Chart Detail,0021400154,390,101108,Chris Paul,1610612746,Los Angeles Clippers,3,0,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-84,142,1,0
119,Shot Chart Detail,0021400154,453,101108,Chris Paul,1610612746,Los Angeles Clippers,4,6,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,77,250,1,1
120,Shot Chart Detail,0021400154,507,101108,Chris Paul,1610612746,Los Angeles Clippers,4,2,12,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,42,1,0
121,Shot Chart Detail,0021400161,5,101108,Chris Paul,1610612746,Los Angeles Clippers,1,11,22,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,70,159,1,1
122,Shot Chart Detail,0021400161,33,101108,Chris Paul,1610612746,Los Angeles Clippers,1,8,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,78,192,1,1
123,Shot Chart Detail,0021400161,60,101108,Chris Paul,1610612746,Los Angeles Clippers,1,5,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-5,258,1,0
124,Shot Chart Detail,0021400161,81,101108,Chris Paul,1610612746,Los Angeles Clippers,1,3,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,143,211,1,0
125,Shot Chart Detail,0021400161,108,101108,Chris Paul,1610612746,Los Angeles Clippers,1,0,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,12,1,1
126,Shot Chart Detail,0021400161,226,101108,Chris Paul,1610612746,Los Angeles Clippers,2,1,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,48,159,1,0
